Ref,Val,Package,PosX,PosY,Rot,Side
"C1","12pF","C_0402_1005Metric",132.800000,-90.520000,90.000000,top
"C2","12pF","C_0402_1005Metric",132.800000,-93.000000,-90.000000,top
"C3","1uF","C_0402_1005Metric",141.700000,-88.750000,0.000000,top
"C4","10uF","C_0402_1005Metric",139.000000,-87.900000,90.000000,top
"C5","10uF","C_0402_1005Metric",109.870000,-81.420000,180.000000,top
"C6","10uF","C_0402_1005Metric",101.450000,-81.695000,180.000000,top
"C7","1uF","C_0402_1005Metric",100.710000,-80.190000,-90.000000,top
"C8","1uF","C_0402_1005Metric",131.630000,-95.740000,-90.000000,top
"C10","10uF","C_0402_1005Metric",110.475000,-83.560000,-90.000000,top
"C11","100nF","C_0402_1005Metric",112.645000,-103.125000,180.000000,top
"C12","100nF","C_0402_1005Metric",119.080000,-103.050000,0.000000,top
"C13","1uF","C_0402_1005Metric",135.270000,-95.735000,90.000000,top
"C14","100nF","C_0402_1005Metric",134.065000,-103.320000,-90.000000,top
"C15","100nF","C_0402_1005Metric",134.065000,-105.615000,90.000000,top
"C16","100nF","C_0402_1005Metric",144.275000,-88.800000,0.000000,top
"C18","100nF","C_0402_1005Metric",126.320000,-95.735000,90.000000,top
"C19","100nF","C_0402_1005Metric",109.220000,-101.275000,-90.000000,top
"C20","1uF","C_0402_1005Metric",120.970000,-99.625000,-90.000000,top
"C21","1uF","C_0402_1005Metric",134.010000,-99.200000,90.000000,top
"C23","10nF","C_0402_1005Metric",102.950000,-83.415000,90.000000,top
"C24","100nF","C_0402_1005Metric",100.175000,-83.415000,90.000000,top
"D2","L0603R","LED_0603_1608Metric",141.300000,-77.300000,0.000000,top
"D4","L0603G","LED_0603_1608Metric",144.750000,-77.300000,180.000000,top
"E2","MDBT42Q-512KV2","RAYTAC_MDBT42Q-512KV2",145.300000,-94.927500,-90.000000,top
"FB1","120R/0.9A","MURATA_BLM15PE121SH1D_0",101.600000,-82.945000,0.000000,top
"FB2","120R/0.9A","MURATA_BLM15PE121SH1D_0",114.910000,-81.710000,0.000000,top
"IC3","LPV821DBVR","SOT95P280X145-5N",128.970000,-94.310000,180.000000,top
"IC4","LPV821DBVR","SOT95P280X145-5N",118.600000,-100.400000,-90.000000,top
"IC5","LPV821DBVR","SOT95P280X145-5N",111.870000,-100.800000,180.000000,top
"IC6","NPM1100-QDAA-R","QFN50P400X400X90-25N-D",106.250000,-80.920000,180.000000,top
"L1","15nH","L_0402_1005Metric",141.750000,-87.150000,-90.000000,top
"L2","10uH","L_0603_1608Metric",140.400000,-86.650000,90.000000,top
"L3","2.2uH","1285ASH1R0MP2",108.050000,-84.795000,180.000000,top
"Q3","FDV303N","SOT96P237X111-3N",146.475000,-80.595000,180.000000,top
"Q4","DMC2400UV-7","SOTFL50P162X60-6N",143.350000,-84.366000,90.000000,top
"R2","49.9k","R_0402_1005Metric",134.200000,-95.755000,90.000000,top
"R3","10k","R_0402_1005Metric",102.985000,-79.430000,-90.000000,top
"R4","1M","R_0402_1005Metric",145.400000,-85.050000,0.000000,top
"R5","1M","R_0402_1005Metric",141.775000,-83.010000,-90.000000,top
"R6","1M5","R_0402_1005Metric",144.925000,-86.665000,90.000000,top
"R7","180k","R_0402_1005Metric",143.825000,-87.275000,-90.000000,top
"R10","1M","R_0402_1005Metric",146.340000,-88.800000,180.000000,top
"R11","100","R_0402_1005Metric",130.220000,-91.480000,90.000000,top
"R12","2M","R_0402_1005Metric",132.695000,-95.760000,-90.000000,top
"R13","10","R_0402_1005Metric",116.200000,-100.925000,90.000000,top
"R14","10","R_0402_1005Metric",109.220000,-99.350000,90.000000,top
"R15","100k","R_0402_1005Metric",122.400000,-99.650000,-90.000000,top
"R16","10","R_0402_1005Metric",117.140000,-97.750000,180.000000,top
"R18","10k","R_0402_1005Metric",128.495000,-96.660000,0.000000,top
"R19","49.9k","R_0402_1005Metric",131.700000,-98.700000,0.000000,top
"R22","150","R_0402_1005Metric",143.450000,-79.300000,180.000000,top
"R23","5.1k","R_0402_1005Metric",100.450000,-93.600000,0.000000,top
"R24","5.1k","R_0402_1005Metric",100.450000,-94.625000,0.000000,top
"U5","BME680","Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering",136.390000,-103.952500,0.000000,top
"X1","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",135.050000,-91.750000,90.000000,top
