Ref,Val,Package,PosX,PosY,Rot,Side
"C1","12pF","C_0402_1005Metric",145.500000,-116.572500,90.000000,top
"C2","12pF","C_0402_1005Metric",145.500000,-119.052500,-90.000000,top
"C3","1uF","C_0402_1005Metric",153.420000,-113.260000,180.000000,top
"C4","10uF","C_0402_1005Metric",150.250000,-114.070000,90.000000,top
"C5","10uF","C_0402_1005Metric",110.130000,-103.225000,-90.000000,top
"C6","10uF","C_0402_1005Metric",110.405000,-111.645000,-90.000000,top
"C7","1uF","C_0402_1005Metric",108.420000,-112.220000,90.000000,top
"C8","10uF","C_0402_1005Metric",142.665000,-121.870000,-90.000000,top
"C9","10uF","C_0402_1005Metric",125.620000,-135.410000,90.000000,top
"C10","10uF","C_0402_1005Metric",112.270000,-102.620000,0.000000,top
"C11","100nF","C_0402_1005Metric",122.305000,-134.835000,180.000000,top
"C12","100nF","C_0402_1005Metric",133.960000,-135.840000,0.000000,top
"C13","10uF","C_0402_1005Metric",146.305000,-121.865000,90.000000,top
"C16","100nF","C_0402_1005Metric",156.110000,-113.595000,0.000000,top
"C17","1uF","C_0402_1005Metric",123.420000,-110.680000,0.000000,top
"C18","100nF","C_0402_1005Metric",140.615000,-124.060000,180.000000,top
"C19","100nF","C_0402_1005Metric",118.880000,-132.985000,-90.000000,top
"C20","10uF","C_0402_1005Metric",135.850000,-132.415000,-90.000000,top
"C21","10uF","C_0402_1005Metric",146.470000,-129.870000,90.000000,top
"C22","100nF","C_0402_1005Metric",121.500000,-111.260000,-90.000000,top
"C23","100nF","C_0402_1005Metric",112.125000,-112.920000,180.000000,top
"C24","10nF","C_0402_1005Metric",112.125000,-110.145000,180.000000,top
"C25","10uF","C_0402_1005Metric",131.980000,-130.490000,180.000000,top
"C26","10uF","C_0402_1005Metric",121.140000,-129.910000,180.000000,top
"C27","1uF","C_0402_1005Metric",114.420000,-107.780000,90.000000,top
"C28","10uF","C_0402_1005Metric",115.620000,-107.780000,90.000000,top
"E2","MDBT42Q-512KV2","RAYTAC_MDBT42Q-512KV2",158.000000,-120.980000,-90.000000,top
"FB1","120R/0.9A","MURATA_BLM15PE121SH1D_0",111.655000,-111.495000,90.000000,top
"FB2","120R/0.9A","MURATA_BLM15PE121SH1D_0",115.730000,-105.500000,0.000000,top
"Gas_Board1","Gas_Board","gas_nordic_edge",100.000000,-100.000000,0.000000,top
"IC1","REF1112AIDBZR","SOT95P237X112-3N",118.750000,-112.790000,-90.000000,top
"IC3","LPV821DBVR","SOT95P280X145-5N",139.190000,-121.410000,-90.000000,top
"IC4","LPV821DBVR","SOT95P280X145-5N",133.480000,-133.190000,-90.000000,top
"IC5","LPV821DBVR","SOT95P280X145-5N",121.530000,-132.510000,180.000000,top
"IC6","NPM1100-QDAA-R","QFN50P400X400X90-25N-D",109.630000,-106.845000,-90.000000,top
"J2","USB","CUI_UJ20-C-G-MSMT-TR-68",101.050000,-121.000000,-90.000000,top
"L1","15nH","L_0402_1005Metric",153.000000,-111.662500,-90.000000,top
"L2","10uH","L_0603_1608Metric",151.630000,-112.202500,90.000000,top
"L3","2.2uH","1285ASH1R0MP2",113.505000,-105.045000,-90.000000,top
"Q3","FDV303N","SOT96P237X111-3N",146.020000,-107.035000,180.000000,top
"R1","49.9k","R_0402_1005Metric",124.360000,-135.410000,-90.000000,top
"R2","49.9k","R_0402_1005Metric",145.235000,-121.885000,90.000000,top
"R3","10k","R_0402_1005Metric",108.140000,-110.110000,0.000000,top
"R7","180k","R_0402_1005Metric",155.660000,-112.070000,-90.000000,top
"R8","10k","R_0402_1005Metric",118.060000,-135.710000,180.000000,top
"R9","1M","R_0402_1005Metric",116.120000,-113.765000,-90.000000,top
"R10","1M","R_0402_1005Metric",157.635000,-112.895000,-90.000000,top
"R11","100","R_0402_1005Metric",136.360000,-120.160000,180.000000,top
"R12","2M","R_0402_1005Metric",143.730000,-121.890000,-90.000000,top
"R13","10","R_0402_1005Metric",131.080000,-133.715000,90.000000,top
"R14","10k","R_0402_1005Metric",118.880000,-131.060000,90.000000,top
"R15","300k","R_0402_1005Metric",137.280000,-132.440000,-90.000000,top
"R16","NC","R_0402_1005Metric",131.960000,-128.880000,180.000000,top
"R17","9.1M","R_0603_1608Metric",114.580000,-113.215000,-90.000000,top
"R18","10k","R_0402_1005Metric",141.540000,-121.885000,90.000000,top
"R19","49.9k","R_0402_1005Metric",144.160000,-129.370000,0.000000,top
"R20","0","R_0402_1005Metric",115.610000,-116.770000,180.000000,top
"R21","953k","R_0603_1608Metric",119.890000,-116.770000,0.000000,top
"R22","150","R_0402_1005Metric",142.650000,-108.840000,180.000000,top
"R23","5.1k","R_0402_1005Metric",107.460000,-120.460000,0.000000,top
"R24","5.1k","R_0402_1005Metric",107.460000,-121.485000,0.000000,top
"R25","1M","R_0402_1005Metric",119.570000,-115.370000,0.000000,top
"R26","1M","R_0402_1005Metric",123.440000,-111.750000,0.000000,top
"R27","NC","R_0402_1005Metric",115.610000,-115.470000,180.000000,top
"R29","NC","R_0402_1005Metric",123.260000,-129.910000,0.000000,top
"R31","1M","R_0402_1005Metric",129.030000,-120.790000,0.000000,top
"U3","MMBFJ177","SOT23",125.880000,-120.790000,-90.000000,top
"X1","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",147.750000,-117.802500,90.000000,top
