Ref,Val,Package,PosX,PosY,Rot,Side
"C1","12pF","C_0402_1005Metric",132.495000,-90.650000,0.000000,top
"C2","12pF","C_0402_1005Metric",132.495000,-93.150000,0.000000,top
"C3","1.0µF","C_0603_1608Metric",140.600000,-82.600000,90.000000,top
"C4","10uF","C_0603_1608Metric",138.250000,-88.650000,0.000000,top
"C5","10uF","C_0603_1608Metric",127.257812,-93.705312,180.000000,top
"C6","10uF","C_0603_1608Metric",116.832812,-94.375312,-90.000000,top
"C7","10uF","C_0603_1608Metric",126.282812,-98.850312,-90.000000,top
"C8","4.7nF","C_0603_1608Metric",106.990312,-88.675312,180.000000,top
"C9","2.2uF","C_0603_1608Metric",118.532812,-95.150312,-90.000000,top
"C10","1.0µF","C_0603_1608Metric",115.282812,-91.700312,-90.000000,top
"C11","0.1uF","C_0603_1608Metric",121.645000,-106.175000,90.000000,top
"C12","1.0µF","C_0603_1608Metric",131.385000,-106.975000,0.000000,top
"C13","0.1uF","C_0603_1608Metric",139.785000,-105.425000,-90.000000,top
"C14","0.1uF","C_0603_1608Metric",136.910000,-106.722500,0.000000,top
"C15","0.1uF","C_0603_1608Metric",137.710000,-108.322500,0.000000,top
"D1","L0603R","LED_0603_1608Metric",122.000000,-87.612500,90.000000,top
"D2","L0603O","LED_0603_1608Metric",123.700000,-87.587500,90.000000,top
"D3","L0603Y","LED_0603_1608Metric",145.512500,-77.200000,180.000000,top
"D4","L0603G","LED_0603_1608Metric",145.585500,-75.462500,180.000000,top
"E1","MDBT42Q-512KV2","RAYTAC_MDBT42Q-512KV2",145.375000,-95.950000,-90.000000,top
"IC1","NPM1100-QDAA-R","QFN50P400X400X90-25N-D",122.532812,-92.865312,180.000000,top
"IC2","TCK106AG,LF","BGA4C40P2X2_79X79X59",137.485000,-104.455000,180.000000,top
"J2","USB4515-GF-A_REVA","GCT_USB4515-GF-A_REVA",106.215312,-95.935312,-90.000000,top
"L1","15nH","C_0402_1005Metric",140.575000,-85.270000,90.000000,top
"L2","10µH","INDC1608X90N",140.575000,-87.870000,90.000000,top
"L3","2.2µH","1285ASH1R0MP2",123.732812,-98.075312,180.000000,top
"Q1","DMC2400UV","SOTFL50P162X60-6N",127.798812,-88.875312,180.000000,top
"Q2","FDV303N","SOT96P237X111-3N",143.345000,-81.950000,90.000000,top
"Q3","FDV303N","SOT96P237X111-3N",147.200000,-81.950000,90.000000,top
"R1","0","R_0402_1005Metric",118.942812,-89.675312,180.000000,top
"R2","100","R_0402_1005Metric",122.945000,-77.350000,0.000000,top
"R3","10k","R_0402_1005Metric",118.432812,-91.215312,-90.000000,top
"R4","1M","R_0402_1005Metric",129.800000,-88.360000,90.000000,top
"R5","1M","R_0402_1005Metric",127.472812,-87.275312,180.000000,top
"R6","1M5","R_0402_1005Metric",127.474812,-90.525312,180.000000,top
"R7","180k","R_0402_1005Metric",132.950000,-94.710000,90.000000,top
"R8","1M","R_0402_1005Metric",106.725312,-103.025312,0.000000,top
"R9","1M","R_0402_1005Metric",142.900000,-84.500000,180.000000,top
"R10","150","R_0402_1005Metric",142.290000,-77.200000,180.000000,top
"R11","1M","R_0402_1005Metric",120.800000,-76.100000,90.000000,top
"R12","1M","R_0402_1005Metric",125.200000,-80.040000,-90.000000,top
"R13","147k","R_0402_1005Metric",131.120000,-103.500000,0.000000,top
"R14","10","R_0402_1005Metric",130.170000,-110.385000,-90.000000,top
"R15","10k","R_0402_1005Metric",119.710000,-106.950000,180.000000,top
"R16","10","R_0402_1005Metric",127.810000,-111.025000,0.000000,top
"R17","150","R_0402_1005Metric",142.290000,-75.700000,180.000000,top
"R18","4.7k","R_0402_1005Metric",142.335000,-103.555000,180.000000,top
"R19","4.7k","R_0402_1005Metric",144.335000,-103.555000,0.000000,top
"R20","5.1k","R_0402_1005Metric",113.095312,-95.435312,0.000000,top
"R21","5.1k","R_0402_1005Metric",113.095312,-96.435312,0.000000,top
"R22","1M","R_0402_1005Metric",146.760000,-84.500000,180.000000,top
"U3","LPV811DBV","SOT-23-5",120.817500,-79.600000,180.000000,top
"U4","LPV812DGK","VSSOP-8_3.0x3.0mm_P0.65mm",126.120000,-108.650000,0.000000,top
"U5","BME680","Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering",142.435000,-107.367500,0.000000,top
"X1","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",134.675000,-91.900000,90.000000,top
